freq,scheme,benefit_type,target_group,unit,country,year,expenditure
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),AT,2015,57.15
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),AT,2016,55.13
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),AT,2017,61.15
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),AT,2018,64.05
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),AT,2019,61.58
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),AT,2020,60.87
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),AT,2021,60.6
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),AT,2022,59.16
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BE,2015,4.28
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BE,2016,5.39
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BE,2017,6.2
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BE,2018,6.62
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BE,2019,12.94
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BE,2020,30.05
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BE,2021,30.39
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BE,2022,28.45
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BG,2015,27.48
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BG,2016,25.21
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BG,2017,23.04
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BG,2018,22.8
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BG,2019,21.03
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BG,2020,20.33
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BG,2021,18.43
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),BG,2022,18.3
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CY,2015,187.78
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CY,2016,197.15
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CY,2017,193.84
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CY,2018,185.21
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CY,2019,181.62
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CY,2020,206.5
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CY,2021,178.21
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CY,2022,167.7
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CZ,2015,11.82
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CZ,2016,10.81
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CZ,2017,9.18
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CZ,2018,8.82
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CZ,2019,7.6
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CZ,2020,6.8
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CZ,2021,7.86
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),CZ,2022,27.69
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DE,2015,37.1
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DE,2016,34.85
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DE,2017,35.33
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DE,2018,32.53
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DE,2019,30.34
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DE,2020,33.39
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DE,2021,35.52
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DE,2022,35.66
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DK,2015,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DK,2016,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DK,2017,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DK,2018,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DK,2019,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DK,2020,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),DK,2021,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),EE,2015,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),EE,2016,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),EE,2017,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),EE,2018,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),EE,2019,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),EE,2020,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),EE,2021,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),EE,2022,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),EL,2015,82.72
